"ID","lnB0_start","Th_start","Ea_start","Eh_start","lnB0","Th","Ea","Eh","r2","AIC","AICc","BIC","trait_name","consumer","habitat","stage"
106,2.3789117986304,329.610636864105,-15.5817945183175,0.49593694111076,-0.540540797194495,316.794887190241,0.642532339168516,0.737122502585047,0.964350486423619,15.5624944405516,17.5624944405516,20.4379977400244,"respiration rate","glycine max","terrestrial","terminal leaflet of second trifoliate leaf (22 days after planting)"
107,-3.54738744272145,370.171020366732,-3.09634393639041,-0.102201792812851,2.43200528603622,306.583293047157,0.848311547332249,1.48980434958477,0.93044753452078,131.58862381129,134.445766668433,135.366379727956,"gross photosynthesis rate","glycine max","terrestrial","terminal leaflet of second trifoliate leaf (22 days after planting)"
108,-5.01643680857175,284.687891307729,-8.14427773277067,0.503204415994121,-0.0464661340243535,279.60387630555,0.320963115917762,2.17686851342433e-05,0.694074110769634,10.2000318149062,50.2000318149062,9.36706969181838,"respiration rate","quercus canariensis","terrestrial","mature current year leaves"
109,2.5486041015053,279.844920228057,-10.8551613316017,0.13584508762417,2.21324548969744,301.520724101396,0.48469191401448,1.35647843670449,0.99227981687161,8.68878458740286,48.6887845874029,7.85582246431508,"net photosynthesis rate","quercus canariensis","terrestrial","mature current year leaves"
110,3.00500232401971,309.955853376617,-2.74514440148866,0.239494916213202,1.48084319909683,293.064920359245,0.578202742782452,1.09667053627499,0.99784198582876,-16.9590402704592,3.04095972954082,-17.1753996742379,"net photosynthesis rate","sphagnum squarrosum","terrestrial","upper shoot"
112,-5.42375262467185,355.913486366732,-3.25705127529936,-0.212640027555545,0.923950834483947,297.273890781273,0.584681603647574,1.57905927170458,0.973418183184222,-0.0451021740929569,13.2882311592404,0.272663992626386,"net photosynthesis rate","sphagnum angustifolium","terrestrial","upper shoot"
113,1.46813678375797,356.094081428079,-6.12412174310489,-2.40167606694016,-0.309090123703617,312.803227161886,0.752849713675565,2.01289072255378,0.99975168830172,-14.0493655730252,25.9506344269748,-14.882327696113,"respiration rate","sphagnum angustifolium","terrestrial","upper shoot"
114,2.44708787363097,347.266836428079,-6.5149122935275,-0.294231674411927,0.821642815249748,294.969045797476,0.657086324786036,1.33126920261956,0.989890235024451,-8.66714041776578,11.3328595822342,-8.88349982154452,"net photosynthesis rate","sphagnum warnstorfii","terrestrial","upper shoot"
117,0.765301560020198,284.010783144398,-2.34463977636571,0.636893641623373,0.868942121126404,317.948654844437,0.167325567477331,2.26496176977564,0.940697071486574,2.48515935590207,6.92960380034652,5.04138867436311,"net photosynthesis rate","agropyron smithii","terrestrial","leaf, 35 days old"
118,0.860096811633863,288.935027144398,-2.33263773927463,0.363333611281923,0.9110155773932,318.062358981673,0.26664142633403,1.30519830410943,0.960025375012977,-0.126246995645813,4.31819744879863,2.42998232281522,"net photosynthesis rate","agropyron smithii","terrestrial","leaf, 35 days old"
